F_1stpeak,wl_1stpeak,F_2ndpeak,wl_2ndpeak,F684,F761,LFtot,EFtot,EFtot_RC
#W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,nm,W m-2 um-1 sr-1,W m-2 um-1 sr-1,W m-2 sr-1,W m-2,W m-2
NaN,NaN,1.911070e+00,742,3.339281e-01,1.154932e+00,1.138780e-01,4.608665e-01,2.039429e+00
3.621353e-01,689,2.004211e+00,743,3.299260e-01,1.258167e+00,1.166973e-01,4.707147e-01,2.252981e+00
3.608219e-01,688,2.030326e+00,744,3.312828e-01,1.315908e+00,1.171464e-01,4.712411e-01,2.392736e+00
NaN,NaN,1.909846e+00,741,4.320245e-01,1.100899e+00,1.211446e-01,4.921276e-01,1.924296e+00
NaN,NaN,2.229582e+00,742,3.895828e-01,1.347421e+00,1.328577e-01,5.376776e-01,2.379334e+00
4.224912e-01,689,2.338246e+00,743,3.849137e-01,1.467861e+00,1.361468e-01,5.491671e-01,2.628478e+00
4.209589e-01,688,2.368714e+00,744,3.864966e-01,1.535226e+00,1.366707e-01,5.497812e-01,2.791526e+00
NaN,NaN,2.182681e+00,741,4.937422e-01,1.258170e+00,1.384509e-01,5.624315e-01,2.199196e+00
NaN,NaN,2.548094e+00,742,4.452375e-01,1.539910e+00,1.518373e-01,6.144886e-01,2.719239e+00
4.828471e-01,689,2.672281e+00,743,4.399014e-01,1.677556e+00,1.555964e-01,6.276195e-01,3.003975e+00
4.810959e-01,688,2.707101e+00,744,4.417104e-01,1.754544e+00,1.561951e-01,6.283214e-01,3.190315e+00
NaN,NaN,2.455516e+00,741,5.554600e-01,1.415442e+00,1.557573e-01,6.327354e-01,2.474095e+00
NaN,NaN,2.866605e+00,742,5.008921e-01,1.732398e+00,1.708170e-01,6.912997e-01,3.059143e+00
5.432030e-01,689,3.006316e+00,743,4.948890e-01,1.887250e+00,1.750459e-01,7.060720e-01,3.379472e+00
5.412328e-01,688,3.045489e+00,744,4.969242e-01,1.973861e+00,1.757195e-01,7.068616e-01,3.589104e+00
NaN,NaN,2.728351e+00,741,6.171778e-01,1.572713e+00,1.730637e-01,7.030394e-01,2.748995e+00
NaN,NaN,3.185117e+00,742,5.565468e-01,1.924887e+00,1.897967e-01,7.681108e-01,3.399048e+00
6.035589e-01,689,3.340351e+00,743,5.498767e-01,2.096945e+00,1.944955e-01,7.845244e-01,3.754969e+00
6.013698e-01,688,3.383876e+00,744,5.521380e-01,2.193179e+00,1.952439e-01,7.854018e-01,3.987894e+00
NaN,NaN,3.001187e+00,741,6.788956e-01,1.729984e+00,1.903700e-01,7.733433e-01,3.023894e+00
NaN,NaN,3.503629e+00,742,6.122015e-01,2.117376e+00,2.087763e-01,8.449219e-01,3.738953e+00
6.639148e-01,689,3.674387e+00,743,6.048644e-01,2.306639e+00,2.139450e-01,8.629769e-01,4.130466e+00
6.615068e-01,688,3.722264e+00,744,6.073518e-01,2.412497e+00,2.147683e-01,8.639419e-01,4.386683e+00
NaN,NaN,1.704811e+00,742,3.212451e-01,1.003361e+00,1.044022e-01,3.951504e-01,1.680629e+00
NaN,NaN,1.919326e+00,743,2.914962e-01,1.197422e+00,1.116750e-01,4.234659e-01,2.039564e+00
3.172137e-01,688,1.973497e+00,744,2.899840e-01,1.287660e+00,1.131490e-01,4.287324e-01,2.240914e+00
3.177004e-01,688,1.971461e+00,745,2.922981e-01,1.333921e+00,1.127689e-01,4.268072e-01,2.374521e+00
NaN,NaN,2.045774e+00,742,3.854942e-01,1.204033e+00,1.252827e-01,4.741805e-01,2.016755e+00
NaN,NaN,2.303191e+00,743,3.497955e-01,1.436907e+00,1.340099e-01,5.081591e-01,2.447476e+00
3.806564e-01,688,2.368196e+00,744,3.479808e-01,1.545192e+00,1.357788e-01,5.144788e-01,2.689097e+00
3.812404e-01,688,2.365753e+00,745,3.507577e-01,1.600705e+00,1.353227e-01,5.121686e-01,2.849425e+00
NaN,NaN,2.386736e+00,742,4.497432e-01,1.404706e+00,1.461631e-01,5.532106e-01,2.352881e+00
NaN,NaN,2.687056e+00,743,4.080947e-01,1.676391e+00,1.563449e-01,5.928523e-01,2.855389e+00
4.440991e-01,688,2.762896e+00,744,4.059776e-01,1.802724e+00,1.584086e-01,6.002253e-01,3.137279e+00
4.447805e-01,688,2.760045e+00,745,4.092173e-01,1.867489e+00,1.578765e-01,5.975300e-01,3.324329e+00
NaN,NaN,2.727698e+00,742,5.139922e-01,1.605378e+00,1.670436e-01,6.322407e-01,2.689007e+00
NaN,NaN,3.070922e+00,743,4.663940e-01,1.915875e+00,1.786799e-01,6.775455e-01,3.263302e+00
5.075419e-01,688,3.157595e+00,744,4.639743e-01,2.060255e+00,1.810384e-01,6.859718e-01,3.585462e+00
5.083206e-01,688,3.154337e+00,745,4.676769e-01,2.134273e+00,1.804303e-01,6.828915e-01,3.799233e+00
NaN,NaN,3.068660e+00,742,5.782412e-01,1.806050e+00,1.879240e-01,7.112708e-01,3.025133e+00
NaN,NaN,3.454787e+00,743,5.246932e-01,2.155360e+00,2.010149e-01,7.622387e-01,3.671215e+00
5.709846e-01,688,3.552294e+00,744,5.219711e-01,2.317787e+00,2.036682e-01,7.717182e-01,4.033645e+00
