#aerodynamicresistance(ra),raforsoil,rss,ustar
#s m-1,s m-1,s m-1,m s-1
7.508247e+00,4.961975e+01,500,3.089172e-01
7.467566e+00,4.943972e+01,500,3.103273e-01
7.536272e+00,4.974361e+01,500,3.079544e-01
7.517221e+00,4.965943e+01,500,3.086081e-01
7.508247e+00,4.961975e+01,500,3.089172e-01
7.467566e+00,4.943972e+01,500,3.103273e-01
7.536272e+00,4.974361e+01,500,3.079544e-01
7.517221e+00,4.965943e+01,500,3.086081e-01
7.508247e+00,4.961975e+01,500,3.089172e-01
7.467566e+00,4.943972e+01,500,3.103273e-01
7.536272e+00,4.974361e+01,500,3.079544e-01
7.517221e+00,4.965943e+01,500,3.086081e-01
7.508247e+00,4.961975e+01,500,3.089172e-01
7.467566e+00,4.943972e+01,500,3.103273e-01
7.536272e+00,4.974361e+01,500,3.079544e-01
7.517221e+00,4.965943e+01,500,3.086081e-01
7.508247e+00,4.961975e+01,500,3.089172e-01
7.467566e+00,4.943972e+01,500,3.103273e-01
8.176753e+00,1.475122e+02,500,2.862351e-01
8.162494e+00,1.473099e+02,500,2.866567e-01
8.156095e+00,1.472191e+02,500,2.868463e-01
8.152725e+00,1.471713e+02,500,2.869463e-01
8.176753e+00,1.475122e+02,500,2.862351e-01
8.162494e+00,1.473099e+02,500,2.866567e-01
8.156095e+00,1.472191e+02,500,2.868463e-01
8.152725e+00,1.471713e+02,500,2.869463e-01
8.176753e+00,1.475122e+02,500,2.862351e-01
8.162494e+00,1.473099e+02,500,2.866567e-01
8.156095e+00,1.472191e+02,500,2.868463e-01
8.152725e+00,1.471713e+02,500,2.869463e-01
8.176753e+00,1.475122e+02,500,2.862351e-01
8.162494e+00,1.473099e+02,500,2.866567e-01
8.156095e+00,1.472191e+02,500,2.868463e-01
8.152725e+00,1.471713e+02,500,2.869463e-01
8.176753e+00,1.475122e+02,500,2.862351e-01
8.162494e+00,1.473099e+02,500,2.866567e-01
8.156095e+00,1.472191e+02,500,2.868463e-01
8.152725e+00,1.471713e+02,500,2.869463e-01
8.176753e+00,1.475122e+02,500,2.862351e-01
8.162494e+00,1.473099e+02,500,2.866567e-01
8.156095e+00,1.472191e+02,500,2.868463e-01
8.152725e+00,1.471713e+02,500,2.869463e-01
8.176753e+00,1.475122e+02,500,2.862351e-01
8.162494e+00,1.473099e+02,500,2.866567e-01
8.156095e+00,1.472191e+02,500,2.868463e-01
8.152725e+00,1.471713e+02,500,2.869463e-01
8.523853e+00,5.942445e+02,500,2.756271e-01
8.512827e+00,5.936039e+02,500,2.759297e-01
8.507981e+00,5.933223e+02,500,2.760629e-01
8.505625e+00,5.931854e+02,500,2.761277e-01
8.523853e+00,5.942445e+02,500,2.756271e-01
8.512827e+00,5.936039e+02,500,2.759297e-01
8.507981e+00,5.933223e+02,500,2.760629e-01
8.505625e+00,5.931854e+02,500,2.761277e-01
8.523853e+00,5.942445e+02,500,2.756271e-01
8.512827e+00,5.936039e+02,500,2.759297e-01
8.507981e+00,5.933223e+02,500,2.760629e-01
8.505625e+00,5.931854e+02,500,2.761277e-01
8.523853e+00,5.942445e+02,500,2.756271e-01
8.512827e+00,5.936039e+02,500,2.759297e-01
8.507981e+00,5.933223e+02,500,2.760629e-01
8.505625e+00,5.931854e+02,500,2.761277e-01
8.523853e+00,5.942445e+02,500,2.756271e-01
8.512827e+00,5.936039e+02,500,2.759297e-01
8.507981e+00,5.933223e+02,500,2.760629e-01
8.505625e+00,5.931854e+02,500,2.761277e-01
8.523853e+00,5.942445e+02,500,2.756271e-01
8.512827e+00,5.936039e+02,500,2.759297e-01
8.507981e+00,5.933223e+02,500,2.760629e-01
8.505625e+00,5.931854e+02,500,2.761277e-01
8.523853e+00,5.942445e+02,500,2.756271e-01
8.512827e+00,5.936039e+02,500,2.759297e-01
8.507981e+00,5.933223e+02,500,2.760629e-01
